text,n_likes
Are they really worth the price (despite being manufactured in Taiwan for some of them) or do you pay mega premium prices just because of the Televue tag?. Honest and ego-free replies please!.,0
"If you want a lunar instrument mainly, then yes..",0
I say it depends on the person and series.. I've tried all the 30ish mm eyepieces and nothing can match the 31T5 IMO.. Closest was probably the ES 30mm 82 but i found it lacked sharpness and had a greyish background.. Ethos I found the same and have now sold my ES 100's. The ES are a tad more comfortable to use however.. These are subtle differences but are noticeable.. Mike.,0
"Not on the used market... A lot of what you're paying for with Tele Vue eye pieces is good correction in fast scopes. I use fairly simple eye pieces in my slow scopes and enjoy the views just fine. For example, I have the three old Orion Optiluxe eye pieces (32mm, 40mm and 50mm). In my f/10 and slower scopes they do well. In friends' f/6 and faster scopes they are terrible. Those friends have 41mm Panoptics and 31mm Naglers.. I'd also read somewhere that when Al Nagler was asked about other companies cloning Tele Vue products, he said he wasn't worried because they'd never duplicate Tele Vue coatings. So perhaps there is also a premium for coatings..",0
It is a well known phenomenon that people feel a wine taste better if they think it is more expensive. I was thinking the only way to settle whether TV is overpriced is to conduct a blind shoot-out of various eyepiece at matching focal lengths and equipment where the eyepiece makers/model is hidden from the observers. The results of such an experiment would be interesting to say the least.,0
"I don't think they're overpriced, though I don't own any of them. They are extremely good eyepieces, right at the very top of the ""food chain"" and I think it's OK for them to cost somewhat more.. Myself, I am on a very limited budget, so I buy ES, when I want wide-field eyepieces, but if I could afford it, I would go with Televue and not look back. I do have a Televue Paracorr, which I am extremely fond of.. Clear skies!Thomas, Denmark.",0
"I personally can't justify TeleVue price tags with my current level of experience. The way I see it, they're only worth the premium price if you can appreciate the benefits they provide. Inexperienced users, such as myself, are not likely to notice a drastic difference in perceived transmission or aberration correction properties, so they're only worth it if you know what you're looking for.. My personal approach is to start out with comfortable mid-range eyepieces as seen in my signature (Baader, Vixen, Explore Scientific) and use them until I develop enough observing experience to warrant spending the extra cash on TV and other premium brands. I would like to first exhaust the utility of my affordable kit before I fork over double to triple the cost for premium glass..",0
"In other words, posters #4,5 and 6 don't own any TV ep's..",0
"If they were overpriced, they wouldn't sell any and they would go out of the eyepiece business..",0
"I suppose the answer is they sell enough to perform development and bring new products to market. They seem to come up with a lot of new ideas. The company is doing something right and its bread and butter is selling eyepieces.. To counter the comment that haters aren't owners.. I own a pairs of 8 Radians, 16T5, 22 and 24 mm Pans and a 41 Pan. I've tried Ethos and the 31 T5. I also have pairs of 6, 10 and 14 Delos.... Apart from the Delos, the only Televue eyepieces I really like are the 22 Pans. and they're not made any more.. I doubt Al actually cares - he already has my money.",0
"Me too. I used a pair of Plossls and a barlow for decades and was perfectly happy with what I could see. Eventually, I began to consider upgrading to some GSO widefields in a 2"" barrel.. I oncehada conversation where I made this very statement. It wasat a star party one afternoon a few years back. About four hours later, a set of Ethos eyepieces was sitting in my lap after my raffle ticket number came up. I cannot speak for others as to whether TV is worth the premium price. But you WILL be able to notice the difference!.",0
"Hi,. Some context - I'm a (glasses wearing) visual-only observer and focus exclusively on DSOs.. I own a number of TV (Delos, Panoptics, Naglers & 1 Ethos) eyepieces - some I got used, the rest I paid retail.. Over the years, I've tried other EP manufacturers - I kept none. What I didn't give away, got tossed. You did ask for honesty, yes?. Do I think my TVs were overpriced? Nope! Otherwise, I wouldn't have bought them, nor would I still own them Best..,. skybsd.",0
"Compared to other things, astronomy always seems to carry high prices for its gear. These eyepieces are marketed toward people who can afford them and they seem to sell well. There are other options if you don't want to spend that kind of money. You can get most of the way there with other brands of eyepieces.. Anyone who ridicules you for not having them or says you're not really doing astronomy unless you have them is being childish.. I have a feeling that you're going to get your face bitten off for asking this question though..",0
"They are not overpriced for me. I personally enjoywide field eyepieces (100 degrees). I havetriedother brands and Televue eyepieces are consistently sharper in the outer edges of the view.The others? Not so much. It's as simple as that for me. YMMV.. Cheers,. Ron.",0
"I believe the standard (and applicable) reply is:. If you have to ask, then, yes, they are.",0
"Actually, not true, at least in the case of Poster #4. What I don't have are:.  - the long focal length Naglers or Panoptics, as I like my Optiluxes just fine. I do find myself coveting the now discontinued 26mm, though. My opinion would be different if I had an f/5 scope, too..  - the Ethos. I can take in the Nagler field just fine, but the Ethos field is too big for me..  - the Delos or DeLites, as I'm happy with the eye pieces I have.. I do have:.  - some Naglers; the 17mm is magical and got the whole ""Nagler fever"" thing started for me. The view of M3 in my refractor was just too much to ignore..  - some Radians.  - some Plossls, I especially like the smoothies which I use with my driveway scope at home.  - two classics: a 13T1 and 24mm wide field. A bit of functional history that provide proof to me that Tele Vue's current eye pieces are demonstrably better than their old eye pieces (except for the Plossls, the smoothies are cool)..",0
"Evaluating an eyepiece is not a subjective judgment like wine is.. With an eyepiece, there are definite, observable aberrations, distortions, phenomena, one can objectively evaluate an eyepiece for field curvature, off axis astigmatism at faster focal ratios, scattering and ghosting. The uniformity of the illumination across the field of view, the field of view, the eye relief, angular magnification distortion... Myself, in the comarisons i have made between TeleVue eyepieces and others is that in my Scopes, which are generally on the fast side, TV eyepieces are sharper at the edge of the field, they suffer from less scatter than similar eyepieces, the field is evenly illuminated without the bright edge that some eyepieces are know for.. I think TeleVue makes excellent eyepieces and sells them at a reasonable price. I don't think Uncle Al has secret Swiss bank accounts, he has made a comfortable living from conceiving, designing and providing the most innovative eyepieces the hobby has seen. Hopefully he gets his just due and those copying his designs don't take too much business away.. I think Thomas Jensen was right on target. They're right at the top but there are eyepieces that are quite good but more affordable.  Myself, I am thrifty by nature but in my retirement years, amateur astronomy is my main interest. I am fortunate enough to have some very nice telescopes and having a nice set of TeleVue eyepieces is a luxury that I can afford. But back to Thomas, he has a good set of eyepieces but more importantly an amazing set of eyes, what he can see..oh my.. I'd gladly trade my eyepieces for his if I could also end up with eyes like his in the bargain.. Jon.",0
"Hopefully no one ridicules anyone in regards to their equipment.  Myself, I have been fortunate to acquire some quite nice equipment. It has taken around 20 years.. Not quickly.. But I very much respect and admire those of us who use basic equipment and use it effectively. Sometimes I think I am the guy with the fastest car on the track but I'm the slowest driver.. Jon.",0
"I brought up this point only because I seen endless maker vs maker in forums with no resolution in sight. (I've read some who commented that $10 Vites 26mm held its own vs Pans and so on). Given the limited resources of time and money most of us have, it would be nice to see if TV or other premium brands stand up to scrutiny of a blind test, however subjective that test might be..",0
"Are TV ep's over priced? I would say.... No, if you can afford them. Yes, if you can't afford them.. Right now, for me, they are over priced, but I don't care as I am happy with what I have..",0
