text,n_likes
Astronomics has a great sale on the Meade SWA eps.. Clear Skies!.,0
Those are some crazy deals.  The 28mm is an amazing eyepiece.  I'm seriously considering the 34mm..,0
I am in for a pair of 24mm's. Now if the UWA's went on sale like the SWA's......I am all in !.,0
Yes sir. Had to jump on that 28!,0
"The 20mm seems to not be on sale, and is the only one in stock..",0
Good timing. I have been looking for EP's to replace my 32 and 25 Plossl's in order to get a wider view in my Orion XT8. These will work nicely! I ordered the 34 and 24. Hope they are back in stock soon..,0
This sale is madness. They are giving them away.  Near Panoptic quality for Plossl prices..,0
Early next week.  They are on the road as I type..,0
I wish I had a hole in my EP collection to fill with one of these. What an incredible deal! I love my 24mm and would highly recommend one to anyone who needs an EP in this focal length..,0
"Amazing deal, 34, 28, 16 ordered.  I've been using the stock eyepieces that came with my 4.5 newtonian for years now (cheapy orion explorer II 25mm and 10mm).  This will work great for when I get the new scope that is in the planning stages (and hey the 16 will work now!) And yeah I would probably would have snagged that 20 but it doesn't seem like it's on sale like the others.",0
I forgot to click a button on the web application.  I will address that tomorrow.  Thanks for the heads up.  The 20 falls in line price wise with the rest of the line..,0
"Michael, any chance for the UWA to go on sale ? Would like a pair of 18uwa's too !.",0
Not at this time.  The Celestrons or Explore Scientific should fit that bill.  I understand they all come from the same optical house..,0
Gee willikers!. With the Celestron and ES Sales and now this Meade SWA sale.. what a good time to upgrade to wide field eyepieces!. Arizona Ken.,0
"Ok the important question is when are Ethos 40% off, I might buy one when its 40% off??.",0
Same here.  I wish there were some holes in my collection.  Those are fantastic prices!.,0
"I don't need any more EP's but I am tempted to get the 40MM for the price.... What to do, what to do????.",0
Helder:. We'll be waiting for your first light report.. Arizona Ken.,0
"Ken, I wouldn't mind, but my EP case is filled. Just no more space and I am NOT buying a new EP case..",0
"This is a bit of a bummer as I just bought the 16mm and the 24mm from Astronomics a month ago for $99 and $169,more than double the current sale price.I wouldn't mind snagging the 20mm as well if the price drops on it..",0
We were a little shocked about the pricing as well..,0
Looks like they are mostly gone....,0
"The reason for the 18uwa's is that they are the highest focal length UWA's in a 1.25"" format. Strip the housing off and it's bino city..",0
"Once word gets around, things start to move..",0
Michael I just purchased the 12.4mm Meade Plossl from you for $15 + shipping. The eyepiece is better than I expected and is listed at 4oz. in weight. It's a hefty little eyepiece and is very sharp in my 80mm F/11.4 Celestron/Vixen refractor. Thanks for the deal!. Jim.,0
"We have a local furniture store named Bob Mills furniture.  His motto for years and years was ""The Working Man's Friend"", then switched to ""Your Home's Best Friend"".  So in that vein I guess astronomics is ""Your Telescope's Best Friend""?  A long winded way of saying you are welcome and thank you for visiting us and posting on Cloudy Nights..",0
Just ordered a 40mm.  Do I need it?  No...  Do I WANT it?  YES!.,0
Wonder if Meade is unloading them for a reason?   Maybe the 6000 serious is about to launch?,0
"This is just speculation, but when I worked in retail a few years ago (Best Buy), a price ending in50 signified a closeout item. Perhaps the same is true with the Meade 5000 Series SWAs?.",0
I was so looking forward for the rain and clouds to end and now this sale comes along.   Will we ever see clear sky's again.....,0
I just ordered a 20mm SWAThis completes my set nicely.. I was told this sale may last until April.Totally unheard of prices for ep's of this quality.I wouldn't be surprised to see other competitive sales start popping up.. The last time I got something for a ridiculously low price that made me grin from ear to ear was when Astronomics were clearing out Celestron Regal binoculars for $169.. Once again Astronomics has put a Chesire grin on my face.Way to go Astronomics,0
How bad is the pincushion distortion on these Meade SWA?  I did not like the pincushion on the 27mm Panoptic.. Dave.,0
I am still waiting to try out the 16SWA I bought a month ago.I haven't had a good night since I bought it.Now with a 20mmSWA on it's way I fear I will have to wait until next fall before I will get to use it or the 16mm,0
