text,n_likes
"FYI, Agena Astro now has these in stock.  Mine shipped today.  Website lists them as being ""in stock."". Don't know how many they have, but I do know that OPT has a big backlog of orders for them.  Was told this by sales earlier this week.. Only putting this on CN.. Perry.",0
"Thanks for the alert, many will appreciate it.. Best,.",0
"Looks like telescopes.com might have some now as well.  My order is finally ""In Fulfillment"" after 2 months of waiting!  The ship time on the product has also gone from ""Ships in 15 business days"" to ""Ships next day"".  Get 'em while they're hot!.",0
"Yesterday Hayneedle (amazon) told me mine would ship. When I mentioned the long delay and asked if they would comp me overnight delivery, they agreed. Of course, on Friday ""overnight"" means Monday. But still. Looks like the dam has finally broken. I hope ibase got some kind of commission or thanks from Baader, 'cause it was his opinions that put me over the edge into buying one and I'm guessing I'm not the only one!.",0
"Hey dude !..Don't be giving ibase all the credit here !.There are other Baader click stop zoom owners that chimed in on promoting these fine fine units , & by golly , I want some commission too !",0
,0
"Starrancher and I are still waiting for our commission checks from Baader, I hope it does not take as long as they took to re-stock the Hyperion zooms!   Yup, the dam has broken - it won't be long now, world dominion is within the horizon. Best,.",0
nothing in the mail yet! The Hyperion zoom  rocks:rockon:.,0
"Ernie,. Sky seems to be improving.  How bout Brian and I get to test drive your awesome zoom again???  Baader may just send you 2 more commission checks!. Joel.",0
"Baader, I can vouch for Tank, he too is a member of the cadre that valiantly fought for the hearts and mind of EP community members to make possible the imperial reign of the Hyperion zoom. Better prepare a big fat check for him too! Best,.",0
"Sure Joel, would be delighted to let you and Brian use my wondrous Hyperion zoom again; I remember the time when you both peered through it and watched your unbelieving wowed reaction as you viewed Saturn (still visible that time) and the starry night skies with the zoom and in unison said that the Hyperion zoom rocks! Now that the supply dam is wide open, world-wide invasion and occupation awaits as the HypZoom puts an end to the EP wars and an unassailable and unconditional victory is secured, hail Hyperion zoom!  Best,.",0
"Mine just shipped from Hayneedle after a two month wait. They took off 10%, presumably because of the delay. Good on them..",0
"Nice discount! If you ask for it maybe most vendors would be willing to give a discount, given the long waiting period and the order was not canceled.. Best,.",0
Mine just shipped yesterday too...$182.50,0
"That's one steal of a price for a brand new latest version Hyperion zoom, congrats! Can't think of any other astro purchase that will give as much value to such $$$ as the BH zoom.. Best,.",0
"Just received mine today. I thought I was getting a great deal as I ordered with a 15% off coupon. But apparently all of us that waited this long are getting a discount. Oh well. I did notice that is has a little clunk at the 24mm setting, presumably from the element group that has to move with the zoom.. Anyone found a lens light shield solution as it does not appear that the eyecup is the 'fold up' type.. Paul.",0
"Paul, it has a twist-up eyecup! It's not obvious but try this: twist the rubber top counter-clockwise and the eyecup will smoothly rise up; twist clock-wise and it will go down.. Best,.",0
"Brilliant, thanks! Now to give it a few hours to impress under the stars!. Paul.",0
Bas***ds didn't give me any price break at all!.,0
Call 'em up & throw a *BLEEP* !.,0
"Please post your impressions of this eyepiece after you use it. IS IT really better than say a Televue or a Vixen zoom???. I have narrowed down the my search to Televue, Vixen, and Baader. Comments COMPARING these would be appreciated..",0
"mine is in transit.  Can't wait.  Don't know about a discount yet, but I expect it is still worth it at full price.",0
"From numerous thread posts that I've come across, the consensus seems to be that the Hyperion 8-24mm zoom blows the TV/Vixen zoom out of the water. Here's a sample thread about it:. A more recent one from this  on Hyperion vs TV zoom:. This quote comes from one who owns all the TV Ethoses, all TV zooms, all TMB supermonos, most Naglers and TV plossls; in conclusion about the Hyperion zoom:.  The Hyperion zoom is the best choice!. Best,.",0
Congrats; you're right on the money when you say that the Hyperion zoom is worth every cent paid for!  In fact I believe it's still a bargain at full price given it's stellar (pardon the pun) performance. Enjoy!.,0
"Hello folks.. I just received mine today... have not had a chance to use it.. Thanks for the photo showing how the rubber eyecup screws up.  Do you generally configure yours with the 2"" nose piece or the 1.25""? I'm assuming the decision is based on the size of your filters (assuming a 2"" focuser).. thanks for commenting.. chuck.",0
"Congrats! The Hyperion zoom will work both ways (2"" or 1-1/4"") but is more secure in the diagonal when using the 2"" mode. No difference in views whatsoever. There's a slight problem using 1-1/4 in that you have to raise the zoom a bit so that the diagonal's set screws won't hit the base of the zoom or otherwise get a long-neck screw that won't come into contact with the zoom.. Both 2"" or 1-1/4"" filters work well with the zoom; the Hyperion zoom is the only zoom in its class that works as both a 1-1/4"" or 2"" eyepiece, a testament to Baader's clever engineering and sleek modular implementation.. And did you know that if you pull out the rubber top, it will reveal threads that will allow you to directly attach a DSLR camera by using an adapter? Cool feature!. Best,.",0
Just got mine today too! I just got home from work about 30 minutes ago and grabbed it off the porch. I look up and see a clear patch in the sky so I set the scope out to cool off (Zhumell Z10). I go back out 15 minutes later and sure enough. Here they come...   It was a beautiful clear day all day today too. Go figure....  I still have a chance to check out the Pleiades though! For like 2 minutes. Then it was over.  and nothin but rain and clouds on the 10 day forecast.    I was impressed with the quality and craftsmanship of this eyepiece though. Very nice! The twist up eye relief is fantastic and the movement of the zoom is nice with just the right amount of friction. I can't wait to see what it can really do..  Edit: I left my scope outside while I was watching TV and after my shows went off I wound up getting about another 5 min of clear sky to gaze at Orion before complete overcast rolled in! What a sight!,0
"Mine was ordered yesterday and left Cerritos, CA for Hodgkins, IL at 6:00 AM today - then on to northern Minnesota - the last 100 miles by dog sled will will be the difficult part!!  Actually I think the sled will be pulled by rain deer - spousal interpretation!!  Way better than socks and a pair of gloves - well quite a few socks and gloves! No discount no shipping fee.  :dob:",0
Does anyone know if it is normal for there to be some slack/play of the internals of this eyepiece? When I turn the eyepiece upside down and back right side up I can feel the internals sliding up and down ever so slightly inside. There doesn't appear to be any negative effects on functionality or degradation of visual quality but I was just wondering if this is normal for this eyepiece. Thanks!.,0
"In a BH zoom vendor's website can be found:. Since you have the latest unit, it might apply. But others have reported that their zoom is ""quiet as a mouse"" while one complaining of a ""clunking noise I hear from my zoom when I shake it up and down lightly-ish."" Mine has no such noise/looseness. If it is that bothersome to you then have it returned since it's under warranty. Otherwise keep it if the performance is there. Just 2 cents.. Best,.",0
Is it possible to use the hyperion FTR's with the zoom piece to get even more focal length options?.,0
"Afraid not; I have both tuning rings and they can only be used with my Hyperion 21mm (or other Hyperions except the 24mm), and not with the zoom. But you can swap parts between the zoom and the 21mm, wherein the zoom becomes a 4-12mm while the 21mm becomes a 32mm widefield. Just remove the nosepiece of the 21 and put in front of the zoom's smythe lens. The 21 without the nosepiece becomes a 32mm..  Best,.",0
Thanks for the info..,0
If I shake mine lightly I can hear (and feel) some internal movement. My guess is that this is normal..,0
Mine rattles a bit too So does my buddies.,0
"My Baader Zoom is scheduled to arrive from OPT on Monday, Nov. 16th.  Now I need to consider whether or not to sell my Zhumell Zoom.  It was a good little work horse, very good for the money, but it's no Baader!    Advantage Baader:  Larger AFOV throughout the range of magnifications, 1-1/2"" & 2"" focuser compatible, 1-1/2"" & 2"" filter compatible, more parfocal, clickstop settings, probably better optics.  Advantage Zhumell:  About 1/4 the price!  I might just keep the Zhumell for quick, rough-n-ready, grab-n-go astronomy when I don't want to risk the Baader.. Mike.",0
"My first post here on Cloudy Nights but I've lurking for a few months. I just received my Hyperion Zoom today and am very excited to get it out tonight. Unfortunately, clouds are rolling in.  At any rate, I have a bit of a problem with it and I thought I'd post here instead of starting a new thread. I have a WO 2"" dielectric diagonal for my little 5i and would like to try the Hyp Zoom in 2"" mode. Unfortunately I'm having some trouble mounting the 2"" nose piece. I have unscrewed the 1.25"" nose piece from the M45/M35 adapter ring (the narrow one with the knurled edge) and then unscrewed the M45/M35 adapter from the eyepiece. This leaves the female M45 threads on the eyepiece exposed. I'm assuming that the M45 adapter ring with the beveled edge screws into these threads and then the 2"" nose piece into the bevel adapter ring. Every time I attempt to screw the beveled ring on to the eyepiece, it starts to bind after about 1 revolution. I'm being careful not to cross thread and the threads on the ring seem undamaged but it's hard to tell for sure. As well, the other adapter ring screws on and off with no problem. I've tried cleaning the threads but still no joy. Am I doing something wrong? Am I missing a part? Do I have the correct adapter ring? It's stamped with part #2454824C.  It's not a huge problem as I'm happy to use the eyepiece in 1.25"" mode for the time being. All of my filters and barlow are 1.25"" anyway.  Sorry about the long winded post. I'm a newbie at this hobby and I thought I'd defer to the vast knowledge and experience on this fantastic site..  Paul.",0
"Paul, Welcome to Cloudy Nights!  Glad you decided to drop in on the forums.. Never apologize for a long post; you posted all the information needed for members to be able to assist you with your question.. Rest assured, you will get ample help here!",0
"Paul, welcome to the forums!. There is an illustrated step-by-step pictorial that I posted some time back about how to attach the 2"" sleeve/adapter of the Hyperion zoom. Look. If you have further queries just holler!. Best,.",0
"Thanks Hernando. I checked out your pictorial description and it's pretty much what I've been trying to do with no success. I suspect the male M45 threads are damaged on the adapter ring for the 2"" nose piece. I'll check with the retailer I purchased it through to see if a replacement adapter ring is available.. I'm not sure if there is any real advantage to using it in 2"" mode anyway other than possibly from a mechanical stability standpoint. That said, I mounted it into my 2"" diagonal using the 1.25"" adapter and it seems rock solid. There are no clearance issues either..",0
"You're right, 2"" mode makes for a more secure fit on the 2"" diagonal and the views are just identical for both 1-1/4"" & 2"" settings. Good luck with the adapter ring!.",0
