text,n_likes
"No, it's not an inflammation of your Takahashi!   Instead, I picked up a used FS-102 on AMart and will be doing visual comparisons against my SV-105T as soon as I can.  The Tak should arrive today/tomorrow.  I have a MT Pro and I'll see if I can mount both scopes together for doing side-by-sides!     Only issue is that the FS has only 1.25"" visual back and I only have a 2"" diagonal.   Oh well, I might have to view straight through to compare.   Stay tuned.. pics will be provided when I can..",4
Resistance is futile.........halt and be converted!. Rex.,0
"How does the FS-102 only have an 1.25"" visual back? Even my Tak Sky 90 had the 2"" focuser with an 1.25"" adapter. You are gonna love the veiw through a Fluorite doublet Rob. There is indeed something special to the view and a slight contrast advantage. With the warmer image due to only two elements, planetary viewing is particularly satisfying and very 3-D like with binoviewers. I have no doubt you will see a difference...enjoy and report your first light!.",1
"Tr,  All the early Taks came with a 1.25"" eyepiece adapter. They started supplying a 2"" adapter maybe 8-10 yrs ago.. The draw tube on the Tak 2.7"" focuser is threaded for 72mm, then there is a 72-43mm adapter plate, followed by a 1.25"" eyepiece holder with 43mm threading. the Tak 2"" eyepiece holder just threads directly to the 72mm draw tube..  Rex.",1
Rex.....YOU are responsible for my Tak addiction.. >Mark.,2
As the happy owner of an SV105T and the lust-after-er(?) of a Takahashi I eagerly await your review!.,1
"Your welcome, Rex",0
"Rob, I think that the views through your FS-102 will make you smile  Looking forward to your comparison.. Green is good. Or is it.. green is soothing? Or green is expensive. This is addicting (astronomy and toys). And the FS-102 doesn't disappoint. Great performer!. Clear skies,. John.",1
"Rob, I'm really excited for you!  And as you know, this is coming from someone who just bought his own first Tak scope (an FS-102 just like yours) a couple of weeks ago.  I sincerely hope that you don't get swamped with bad weather, competing work and personal obligations, etc., like I did right after the scope arrived.  But at least I did get to observe through it briefly the night that it arrived; hope you get the same opportunity!",0
"Hey Rob, dibs if you decide to sell it! Just kidding, congrats on a fine telescope. I've owned one in the past, and can tell you that it's a fine instrument. Beware though, it may lead to the purchase of an FS-128!.",1
I could suffer with a FS-128!. Thanks.. Will send pics in a day or two.  Too much home stuff going on..,0
"I cured my Takitis... by selling them all Only ONE Tak I lust after - the FC-100. That'd make me very happy, and a nice companion to my Vixen FL102S.",0
I had a FCC-100 years back but sold it.. Doh!.,1
Your going to enjoy that scope soooo much!!. congratulations!!.,0
"Here they are, ready for action... my SV-105T and my FS-102, on the MT Pro..",5
"Very nice, Rob!  Can't wait to hear the shootout results.   Also, please let me know what you think about the JMI Motofocus, as I've been trying to decide whether or not to get one..",0
"Well ,  tonight was a bit of a dud.  The FS102 has only a 1.25"" visual back and my star diagonal is 2"".  I tried viewing straight through but could not reach focus. So, no first light yet with the Tak.. I tried viewing with the 105 but the Mosquitos drove me in after awhile. They were swarming!. Looks like I will have to invest in a 2"" visual back..",0
"If there's one thing that I don't like about Tak scopes, it's the need for all the proprietary adapters needed to make everything work properly.  But once you get your system up and running, it's really quite a pleasure to behold!. My recommendation is to get the 2"" visual back with Baader Clicklock attachment that I PM'd you about the other day.  I was lucky enough that my scope came with one when I purchased it, and I really think that it works quite well..",1
Have fun comparing the two Rob...are you keeping only one?.,0
"Hi Tim,.   I plan to keep just one.  Looks like I'll be buying that clickstop 2"" visual back. Would love to have both but... gotta stretch those astro dollars.. My wife saw my setup last night and told me. "" Don't you want to get a bigger one?""   She wants me to get another ""Yuri scope"".. the TEC-140.. I guess size does matter after all!   : ).   Anyway, this got me thinking.. If I sell off both these, I could swing a used TSA-120 or FS-128!  Hmmmmm........",0
Can't wait to hear your comparison Rob!!.,0
And a Thermacell.,0
"Or a Bug Shirt,",0
Man...do I ever need one of those!!!  :john:.,0
I had a similar feeling about the proprietary adapters so I upgraded both Tak focusers with Feathertouch and at the same time converted to Astro-Physics accessories.  I am a much happier camper now.  You will like your scope!.,0
"I have the Elite Bug Shirt and pants, 100% effective against mosquitoes. Looks a little goofy but who cares. I use the microfiber version because of the heat and humidity here, cooler than the cotton..",1
,0
Awesome Seinfeld reference!,0
I purchased the shirt and pants at your suggestion a few years back after reading another complimentary post that you made.  These are awesome and really work.  Just had it at Cherry Springs last week..,1
the disease is spreading......,4
I'm feeling Tak green with envy!!.,0
"Well, life is not cooperating.  Very bad weather and the few good nights, other life stuff got in the way.   Still hopeful to compare soon..   BTW, I have a lead on a used FS-128.  Would I be crazy to sell off both these 4"" apes and get the FS-128?    I'm thinking about it.. CS,. Rob.",0
"Rob,. The FS128 is definitely a step up from the FS102 ( I sold both my FS102 and TSA 102 after buying the FS128), but the FS128 is a much bigger scope ( only weighs about 17 lb) but it is long and make sure you have a mount that can handle it with the tripod extended for good viewing height.. Also it is not exactly grab and go so plan on a little more setup/ transport issues with a matching mount. But it is a keeper scope, I got one after selling my AP130GT and would never go back to the AP!. Rex.",1
What is fair market value for the FS scopes these days?.,0
"Rex, that is very high praise for the FS128, must be some great telescope.",0
"IMO the FS128 and AP130GT are different scopes, the AP is very fast and has to much curvature in the FOV for my tastes, don't get me wrong, it is a very high quality lens that resolves such targets as the moons of Jupiter , Uranus and Neptune as well as any scope out there, but for me the flatter FOV of the FS128 is more natural. I think that Astro Physics had photography and binoviewing in mind on that design, you can pair it with a MarkV binoviewer and have one of the best bino friendly scopes made, ( as the recommended 1.25x GPC extends the FR to a more natural F8), and if I were into binoviewing, I might own one, but for mono, I Prefer the FS128.. Rex.",0
