text,n_likes
"Looks like the Astronomcis AT92 will be avaible next year! Pretty exciting, looks like I need to start saving my pennies.",3
"Such a good, popular size, one of the largest GnG fracs IMO- besides maybe the 100mm tak dc (which is approx double the price) or the new SV 102 doublet.. Otherwise the 100mm really start pushing the mount requirements up. Awesome news.",0
That is very interesting news. I really like the size and capabilities of my Megrez 90mm - its a nice tweener and very light at around 7 lbs. It gives me so many mounting options as well - it even works well enough on my Orion Paragon Plus mount.. The AT92 is a bit pricey at $1795 - is it assumed to be a triplet at that price and maybe with FPL-53 glass?.,2
"It is a triplet with a center element of FCD100 (ED), one mating element of LAL14 (Lanthanum), and then a third element..",10
"At 16.5"" long is should be great as a grab and go scope..",5
The focal ratio will be f/5.5?. Looks very interesting. Definitely will make a nice grab and go..,2
It is f/5.5. Here is a link to the review of the original lens design when it was a TMB92.,1
"The TMB 92SS had a FPL-53 element. I'm not seeing this in your statement. Though it is stated that the new AT92 uses a revised design of the 92SS, do they use different glass?. Knowing the weight of the new AT92 (with rings) would be valuable. The 92SS was a heavyweight..",0
No weight yet. The center element is FCD100..,1
Does FCD100 have similar optical properties to FPL53? Bill.,0
"From the Hoya website. ""FCD100 is an extremely low dispersion optical glass equivalent to fluorite (CaF2). 　　　　 Relying on technological innovation, we have successfully launched the mass production of high-performance optical glass at the apex of the FCD family. Combining it with optical glass of high refractive index allows us to achieve unprecedented advanced chromatic aberration correction."".",1
Very nice. F/5.5 is just right for me. Will definitely be considering for tweener between AT72 and 120ST..,3
where will this scope be manufactured primarily optical elements..,0
"The same company that makes our EDT line will be making the 92, so it will be made in China. This company has been making telescopes for many years and has made telescopes that sell for well over $5000 here in the US. Their optics have been tested time and time again and have been used by throngs of satisfied customers..",7
Looks like the ultimate travel scope. Pack it in a carry-on bag and go anywhere. My only concern would be to find a mount sturdy and stable enough yet light and collapsible so that it can conveniently fit into check-on luggage. Any suggestions?.,1
"""Say hello to my little friend"". Wish I had the $$ to spend..",1
CEM25P.,1
"CEM25P, AT92 with a OSC would make a great portable imaging setup..",2
"Wanting a grab-n-go scope with astrophotographic capabilities, I'm considering quite a few refractors in the 100mm range. Question: would the f/5 AT92 be a significant improvement for photography over, say, the AT115 at f/7? Or are we splitting hairs here? I'm guessing it would be a significant improvement for photo use..",1
"For grab and go, mounting requirements will be less stringent with the AT92. Also, the shorter focal length will be easier to use with imaging. More photons on the sensor with wider fov. Tracking errors less problematic with shorter focal length I hear as well. Visually they are likely both great, the larger aperture will show you more, but the AT92 will likely be the more capable scope for your needs , by a good margin. Not splitting hairs, IMO.",1
given premium price why not get this manufactured in Japan or USA..,1
"We could for double the price. This was the most cost effective way to produce this instrument again. It is a little more expensive than the light TMB 92 when it was around and a little less expensive than the TMB92 with a feather touch.  Those were last produced 4 years ago and pricing has changed. Our optical house in Taiwan wanted double for the same optics and would not guarantee the minimum optic quality we wanted.  This scope is premium and will perform like a premium scope should, just not cost what a premium scope of this size and speed should cost.",10
"Still searching for that Goldilocks air travel scope. My TV-85 is an awesome traveler, but is just a bit less aperture than I'd like. My A-P Traveler has the aperture and still fits in carry-on, but the weight (with more mount needed), and form factor, are just a tad more than I'd prefer. So I'm really looking forward to comparing this. Placed my order today. :-).",4
In today's world China has the ability to make premium products. Folks used to laugh at Japan but that changed too. It contains cost making them in China and makes the product affordable..,6
Any plans for a reducer or other imaging accessories?.,1
"We will look at a dedicated reducer after the scopes get out and about, however I am concerned about the cost as the scope is already f/5.5. I am unsure how reasonably priced a dedicated reducer could be as the scope would be really fast when it is all said and done. The TMB92 worked very well with our generic field flattener..",1
"Also, the image circle is 48mm..",1
The review mentions a removable 2-1/4 inch section of the tube on the TMB92. Is this also a feature of the new AT92?. -Alex.,0
It will not have that feature..,0
Could be worth selling my SV70ed doublet for this as my grab-and-go..,0
"Any word on whether this will come with a case, or rings and dovetail? It looks like the 92SS was able to get nice and short for an airplane carry-on bag, hoping the little AT92 will be able to do so as well. This is an enticing scope but I would rather have a doublet with this aperture and maybe slightly slower f-ratio to save on cost while still being airplane-portable. The TS 90mm that unscrews into multiple tube sections might be the better option, and it's quite a lot cheaper. It is also a more binoviewer-friendly option which would be excellent for a rich field scope like the AT92/TS90..",1
"Last I saw on the web site, it does come with rings, dovetail, and case. :-). Alex.",1
"Ha, I must have missed then when looking at their lineup. With rings, dovetail, and case, $1800 is a little easier to swallow. Still pretty spendy but probably close to fair given the optical quality..",0
"When going to the Astronomics web site, the AT92 is not. listed under refractors. (?). But you can still find it under Manufacturers/Astrotech. Alex.",0
"Can we assume that the focuser is the same assembly that is used on the other EDT's? As a 130EDT owner, I would consider that to be a positive..",2
"Excellent.. I was searching on the website but could not find the info. FCD100 is the Hoya equivalent to the well known O'hara FPL53.. -> IMO, you should really emphasize it on the product webpage. It is a key point (go/no go to me) which makes all the difference on a such fast triplet.. Great job, great product, congratulations. Olivier. p.s. having some AP, I still miss my AT106...may be the AT92 could cure the pain....",1
I need to buy some Hoya stock... Is FCD100 glass that expensive? the AT80 is 750$ and the 92 is 1800$. With a scope that small at this f/ could you really notice any difference between FPL-51 and FPL-53 / FCD100?.,1
"Well, I simply can't see how one could go wrong with this OTA. (Pre-) Ordered.",3
